meal_type,meal_name,calories
dinner,Vegetable Curry with Brown Rice(250 gm),350
dinner,Chickpea Masala(150 gm) with 1 Roti,350
dinner,Palak Paneer with Quinoa(230 gm),350
dinner,Masoor Dal with Basmati Rice (250 gm),350
dinner,Baingan Bharta(150 gm) with 1 Chapati,350
dinner,Vegetable Korma with Jeera Rice(250 gm),400
dinner,Chana Masala with Brown Rice(220 gm),400
dinner,Palak Tofu with Quinoa(200 gm),400
dinner,Baingan Bharta with Roti(250 gm),400
dinner,Mixed Vegetable Curry with Basmati Rice(300 gm),400
dinner,Paneer Butter Masala with Jeera Rice(250 gm),450
dinner,Spinach Dal with Brown Rice(220 gm),450
dinner,Aloo Gobi with Quinoa(200 gm),450
dinner,Mushroom Masala with Roti(250 gm),450
dinner,Chole (Chickpea Curry) with Basmati Rice(300 gm),450
dinner,Vegetable Biryani(300 gm),500
dinner,Lauki Kofta Curry with Roti(250 gm),500
dinner,Palak Mushroom with Quinoa(250 gm),500
dinner,Dal Tadka with Brown Rice(300 gm),500
dinner,Stuffed Bell Peppers with Chapati(250 gm),500
dinner,Vegetable Pulao with Raita(300 gm),550
dinner,Kadai Paneer with Roti(250 gm),550
dinner,Methi Malai Murg with Quinoa(250 gm),550
dinner,Dal Makhani with Brown Rice(300 gm),550
dinner,Aloo Gobi Masala with Chapati(250 gm),550
dinner,Vegetable Biryani with Yogurt(350 gm),600
dinner,Paneer Tikka Masala with Roti(300 gm),600
dinner,Spinach and Chickpea Curry with Quinoa(250 gm),600
dinner,Lauki Kofta with Brown Rice(300 gm),600
dinner,Cauliflower Peas Masala with Chapati(300 gm),600
dinner,Vegetable Pulao with Raita(350 gm),650
dinner,Palak Paneer with Roti(300 gm),650
dinner,Chana Masala with Basmati Rice(300 gm),650
dinner,Bhindi Masala with Quinoa(300 gm),650
dinner,Stuffed Bell Peppers with Brown Rice(300 gm),650
dinner,Vegetable Biryani with Yogurt(400 gm),700
dinner,Mixed Vegetable Curry with Chapati(350 gm),700
dinner,Dal Makhani with Basmati Rice(350 gm),700
dinner,Methi Matar Malai with Quinoa(300 gm),700
dinner,Gobi Manchurian with Brown Rice(350 gm),700
dinner,Vegetable Korma with Roti(400 gm),750
dinner,Paneer Tikka Masala with Basmati Rice(350 gm),750
dinner,Palak Dal with Quinoa(300 gm),750
dinner,Aloo Gobi Curry with Brown Rice(350 gm),750
dinner,Baingan Bharta with Chapati(350 gm),750
dinner,Mixed Vegetable Sabzi with Roti(450 gm),800
dinner,Chana Masala with Brown Rice(400 gm),800
dinner,Palak Paneer with Quinoa(400 gm),800
dinner,Dal Makhani with Basmati Rice(400 gm),800
dinner,Brinjal Curry with Chapati(400 gm),800
dinner,Chana Masala with Jeera Rice(400 gm),850
dinner,Methi Matar Malai with Paratha(400 gm),850
dinner,Mixed Vegetable Curry with Basmati Rice(450 gm),850
dinner,Palak Paneer with Quinoa(400 gm),850
dinner,Rajma Masala with Brown Rice(400 gm),850
dinner,Paneer Butter Masala with Naan(450 gm),900
dinner,Stuffed Capsicum with Chapati(450 gm),900
dinner,Vegetable Biryani with Raita(400 gm),900
dinner,Baingan Bharta with Roti(450 gm),900
